Layer k,r range (mm),t_flat (mm),dt_fine (nm),t_after_fine (mm)
1,0.0–1.7,0.10137781137440251,0.0,0.10137781137440251
2,1.7–2.4,0.14552792174967843,-256.2328700854701,0.14527168887959296
3,2.4–2.9,0.2091040806900758,-76.96921854304729,0.20902711147153274
4,2.9–3.4,0.29917030585563864,-256.2328700854701,0.29891407298555317
5,3.4–3.8,0.42808862815144433,256.2328700854701,0.42834486102152985
6,3.8–4.2,0.6135190917276032,256.2328700854701,0.6137753245976887
7,4.2–4.5,0.8784197539792589,256.2328700854701,0.8786759868493443
8,4.5–4.8,1.2598767076216428,-256.2328700854701,1.2596204747515571
const(out),4.0–8.0,1.2598767076216428,-256.2328700854701,1.2596204747515571
